,test_name,correlated_tests,urls
42,[sig-builds][Feature:Builds] s2i build with a root user image should create a root build and pass with a privileged SCC,"[('[sig-builds][Feature:Builds] prune builds based on settings in the buildconfig  should prune canceled builds based on the failedBuildsHistoryLimit setting', 0.908153218373004), ('[sig-devex][Feature:OpenShiftControllerManager] TestDockercfgTokenDeletedController', 0.908153218373004), ('[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestSimpleImageChangeBuildTriggerFromImageStreamTagDocker', 0.908153218373004), ('[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestSimpleImageChangeBuildTriggerFromImageStreamTagSTIWithConfigChange', 0.908153218373004)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-aws-ovn-4.6/1291592782258900992', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712']"
43,[sig-builds][Feature:Builds][valueFrom] process valueFrom in build strategy environment variables  should fail resolving unresolvable valueFrom in docker build environment variable references,"[('[sig-auth][Feature:OpenShiftAuthorization] scopes TestScopedImpersonation should succeed', 0.9081532183730029)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-aws-ovn-4.6/1290755956526813184']"
44,[sig-builds][Feature:Builds][valueFrom] process valueFrom in build strategy environment variables  should successfully resolve valueFrom in docker build environment variables,"[('[sig-instrumentation][sig-builds][Feature:Builds] Prometheus when installed on the cluster should start and expose a secured proxy and verify build metrics', 0.9081532183730032), ('[sig-auth][Feature:RoleBindingRestrictions] RoleBindingRestrictions should be functional  Rolebinding restrictions tests single project should succeed', 0.9081532183730032), ('[sig-apps][Feature:OpenShiftControllerManager] TestTriggers_configChange', 0.9081532183730032), ('[sig-auth][Feature:OpenShiftAuthorization] authorization  TestClusterReaderCoverage should succeed', 0.9081532183730032), ('[sig-auth][Feature:OpenShiftAuthorization] self-SAR compatibility  TestSelfSubjectAccessReviewsNonExistingNamespace should succeed', 0.9081532183730032)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1290697393284583424']"
45,[sig-cli] oc rsh rsh specific flags should work well when access to a remote shell,"[('[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestSimpleImageChangeBuildTriggerFromImageStreamTagDockerWithConfigChange', 1.0)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-aws-fips-4.6/1291710607464075264']"
46,[sig-devex][Feature:OpenShiftControllerManager] TestAutomaticCreationOfPullSecrets,"[('[sig-api-machinery][Feature:APIServer] anonymous browsers should get a 403 from /', 1.0), ('[sig-api-machinery][Feature:APIServer] authenticated browser should get a 200 from /', 1.0), ('[sig-apps][Feature:DeploymentConfig] deploymentconfigs should respect image stream tag reference policy resolve the image pull spec', 1.0), ('[sig-auth][Feature:OpenShiftAuthorization] authorization  TestAuthorizationSubjectAccessReview should succeed', 1.0), ('[sig-auth][Feature:ProjectAPI]  TestProjectWatchWithSelectionPredicate should succeed', 1.0), ('[sig-auth][Feature:SecurityContextConstraints]  TestPodUpdateSCCEnforcement', 1.0), ('[sig-builds][Feature:Builds] prune builds based on settings in the buildconfig  should prune builds after a buildConfig change', 1.0), ('[sig-imageregistry][Feature:ImageLookup] Image policy should perform lookup when the object has the resolve-names annotation', 1.0), ('[sig-imageregistry][Feature:Image] oc tag should change image reference for internal images', 1.0), ('[sig-network] network isolation when using a plugin that isolates namespaces by default should allow communication from default to non-default namespace on a different node', 1.0), ('[sig-network] services when using a plugin that isolates namespaces by default should allow connections from pods in the default namespace to a service in another namespace on a different node', 1.0)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712']"
47,[sig-devex][Feature:OpenShiftControllerManager] TestDockercfgTokenDeletedController,"[('[sig-builds][Feature:Builds] prune builds based on settings in the buildconfig  should prune failed builds based on the failedBuildsHistoryLimit setting', 0.908153218373004), ('[sig-auth][Feature:OpenShiftAuthorization] RBAC proxy for openshift authz  RunLegacyLocalRoleBindingEndpoint should succeed', 0.908153218373004), ('[sig-auth][Feature:OpenShiftAuthorization] scopes TestUnknownScopes should succeed', 0.908153218373004), ('[sig-builds][Feature:Builds] prune builds based on settings in the buildconfig  should prune canceled builds based on the failedBuildsHistoryLimit setting', 1.0), ('[sig-builds][Feature:Builds] s2i build with a root user image should create a root build and pass with a privileged SCC', 0.908153218373004), ('[sig-devex][Feature:Templates] templateinstance impersonation tests should pass impersonation creation tests', 0.908153218373004), ('[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestSimpleImageChangeBuildTriggerFromImageStreamTagCustomWithConfigChange', 0.908153218373004), ('[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestSimpleImageChangeBuildTriggerFromImageStreamTagDocker', 1.0), ('[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestSimpleImageChangeBuildTriggerFromImageStreamTagSTIWithConfigChange', 1.0), ('[sig-network][Feature:Router] The HAProxy router should override the route host for overridden domains with a custom value', 0.908153218373004)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-aws-ovn-4.6/1291592782258900992', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712']"
48,[sig-devex][Feature:Templates] templateinstance impersonation tests should pass impersonation creation tests,"[('[sig-auth][Feature:OpenShiftAuthorization] RBAC proxy for openshift authz  RunLegacyLocalRoleBindingEndpoint should succeed', 1.0), ('[sig-builds][Feature:Builds] prune builds based on settings in the buildconfig  should prune canceled builds based on the failedBuildsHistoryLimit setting', 0.908153218373004), ('[sig-devex][Feature:OpenShiftControllerManager] TestDockercfgTokenDeletedController', 0.908153218373004), ('[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestSimpleImageChangeBuildTriggerFromImageStreamTagCustomWithConfigChange', 1.0), ('[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestSimpleImageChangeBuildTriggerFromImageStreamTagDocker', 0.908153218373004), ('[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestSimpleImageChangeBuildTriggerFromImageStreamTagSTIWithConfigChange', 0.908153218373004), ('[sig-network][Feature:Router] The HAProxy router should override the route host for overridden domains with a custom value', 1.0), ('[sig-auth][Feature:OpenShiftAuthorization] self-SAR compatibility  TestBootstrapPolicySelfSubjectAccessReviews should succeed', 0.9081532183730041)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-aws-ovn-4.6/1291592782258900992', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712']"
49,[sig-devex][Feature:Templates] templateinstance impersonation tests should pass impersonation deletion tests,"[('[sig-auth][Feature:OpenShiftAuthorization] RBAC proxy for openshift authz  RunLegacyEndpointConfirmNoEscalation should succeed', 0.9081532183730027)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-aws-ovn-4.6/1291619068033372160']"
50,[sig-devex][Feature:Templates] templateservicebroker end-to-end test  should pass an end-to-end test,"[('[sig-network] services when using a plugin that isolates namespaces by default should prevent connections to pods in different namespaces on the same node via service IPs', 1.0)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712']"
51,[sig-devex][Feature:Templates] templateservicebroker security test  should pass security tests,"[('[sig-auth][Feature:OpenShiftAuthorization] RBAC proxy for openshift authz  RunLegacyEndpointConfirmNoEscalation should succeed', 0.9081532183730024)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-aws-ovn-4.6/1291619068033372160']"
52,[sig-imageregistry][Feature:ImageLookup] Image policy should perform lookup when the object has the resolve-names annotation,"[('[sig-api-machinery][Feature:APIServer] anonymous browsers should get a 403 from /', 1.0), ('[sig-api-machinery][Feature:APIServer] authenticated browser should get a 200 from /', 1.0), ('[sig-apps][Feature:DeploymentConfig] deploymentconfigs should respect image stream tag reference policy resolve the image pull spec', 1.0), ('[sig-auth][Feature:OpenShiftAuthorization] authorization  TestAuthorizationSubjectAccessReview should succeed', 1.0), ('[sig-auth][Feature:ProjectAPI]  TestProjectWatchWithSelectionPredicate should succeed', 1.0), ('[sig-auth][Feature:SecurityContextConstraints]  TestPodUpdateSCCEnforcement', 1.0), ('[sig-builds][Feature:Builds] prune builds based on settings in the buildconfig  should prune builds after a buildConfig change', 1.0), ('[sig-devex][Feature:OpenShiftControllerManager] TestAutomaticCreationOfPullSecrets', 1.0), ('[sig-imageregistry][Feature:Image] oc tag should change image reference for internal images', 1.0), ('[sig-network] network isolation when using a plugin that isolates namespaces by default should allow communication from default to non-default namespace on a different node', 1.0), ('[sig-network] services when using a plugin that isolates namespaces by default should allow connections from pods in the default namespace to a service in another namespace on a different node', 1.0)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712']"
53,[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestMultipleImageChangeBuildTriggers,"[('[sig-auth][Feature:Authentication]  TestFrontProxy should succeed', 1.0)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152']"
54,[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestSimpleImageChangeBuildTriggerFromImageStreamTagCustom,"[('[sig-auth][Feature:RoleBindingRestrictions] RoleBindingRestrictions should be functional  Create a rolebinding when subject is permitted by RBR should succeed', 1.0), ('[sig-network][endpoints] admission TestEndpointAdmission', 1.0)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-aws-ovn-4.6/1291592782258900992', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712']"
55,[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestSimpleImageChangeBuildTriggerFromImageStreamTagCustomWithConfigChange,"[('[sig-auth][Feature:OpenShiftAuthorization] RBAC proxy for openshift authz  RunLegacyLocalRoleBindingEndpoint should succeed', 1.0), ('[sig-builds][Feature:Builds] prune builds based on settings in the buildconfig  should prune canceled builds based on the failedBuildsHistoryLimit setting', 0.908153218373004), ('[sig-devex][Feature:OpenShiftControllerManager] TestDockercfgTokenDeletedController', 0.908153218373004), ('[sig-devex][Feature:Templates] templateinstance impersonation tests should pass impersonation creation tests', 1.0), ('[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestSimpleImageChangeBuildTriggerFromImageStreamTagDocker', 0.908153218373004), ('[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestSimpleImageChangeBuildTriggerFromImageStreamTagSTIWithConfigChange', 0.908153218373004), ('[sig-network][Feature:Router] The HAProxy router should override the route host for overridden domains with a custom value', 1.0), ('[sig-auth][Feature:OpenShiftAuthorization] self-SAR compatibility  TestBootstrapPolicySelfSubjectAccessReviews should succeed', 0.9081532183730041)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-aws-ovn-4.6/1291592782258900992', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712']"
56,[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestSimpleImageChangeBuildTriggerFromImageStreamTagDocker,"[('[sig-builds][Feature:Builds] prune builds based on settings in the buildconfig  should prune failed builds based on the failedBuildsHistoryLimit setting', 0.908153218373004), ('[sig-auth][Feature:OpenShiftAuthorization] RBAC proxy for openshift authz  RunLegacyLocalRoleBindingEndpoint should succeed', 0.908153218373004), ('[sig-auth][Feature:OpenShiftAuthorization] scopes TestUnknownScopes should succeed', 0.908153218373004), ('[sig-builds][Feature:Builds] prune builds based on settings in the buildconfig  should prune canceled builds based on the failedBuildsHistoryLimit setting', 1.0), ('[sig-builds][Feature:Builds] s2i build with a root user image should create a root build and pass with a privileged SCC', 0.908153218373004), ('[sig-devex][Feature:OpenShiftControllerManager] TestDockercfgTokenDeletedController', 1.0), ('[sig-devex][Feature:Templates] templateinstance impersonation tests should pass impersonation creation tests', 0.908153218373004), ('[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestSimpleImageChangeBuildTriggerFromImageStreamTagCustomWithConfigChange', 0.908153218373004), ('[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestSimpleImageChangeBuildTriggerFromImageStreamTagSTIWithConfigChange', 1.0), ('[sig-network][Feature:Router] The HAProxy router should override the route host for overridden domains with a custom value', 0.908153218373004)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-aws-ovn-4.6/1291592782258900992', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712']"
57,[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestSimpleImageChangeBuildTriggerFromImageStreamTagDockerWithConfigChange,"[('[sig-cli] oc rsh rsh specific flags should work well when access to a remote shell', 1.0)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-aws-fips-4.6/1291710607464075264']"
58,[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestSimpleImageChangeBuildTriggerFromImageStreamTagSTI,"[('[sig-auth][Feature:OpenShiftAuthorization] RBAC proxy for openshift authz  RunLegacyClusterRoleBindingEndpoint should succeed', 0.9081532183730036)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-aws-fips-4.6/1291406872095494144']"
59,[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestSimpleImageChangeBuildTriggerFromImageStreamTagSTIWithConfigChange,"[('[sig-builds][Feature:Builds] prune builds based on settings in the buildconfig  should prune failed builds based on the failedBuildsHistoryLimit setting', 0.908153218373004), ('[sig-auth][Feature:OpenShiftAuthorization] RBAC proxy for openshift authz  RunLegacyLocalRoleBindingEndpoint should succeed', 0.908153218373004), ('[sig-auth][Feature:OpenShiftAuthorization] scopes TestUnknownScopes should succeed', 0.908153218373004), ('[sig-builds][Feature:Builds] prune builds based on settings in the buildconfig  should prune canceled builds based on the failedBuildsHistoryLimit setting', 1.0), ('[sig-builds][Feature:Builds] s2i build with a root user image should create a root build and pass with a privileged SCC', 0.908153218373004), ('[sig-devex][Feature:OpenShiftControllerManager] TestDockercfgTokenDeletedController', 1.0), ('[sig-devex][Feature:Templates] templateinstance impersonation tests should pass impersonation creation tests', 0.908153218373004), ('[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestSimpleImageChangeBuildTriggerFromImageStreamTagCustomWithConfigChange', 0.908153218373004), ('[sig-imageregistry][Feature:ImageTriggers] Image change build triggers TestSimpleImageChangeBuildTriggerFromImageStreamTagDocker', 1.0), ('[sig-network][Feature:Router] The HAProxy router should override the route host for overridden domains with a custom value', 0.908153218373004)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-aws-ovn-4.6/1291592782258900992', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712']"
60,[sig-imageregistry][Feature:Image] oc tag should change image reference for internal images,"[('[sig-api-machinery][Feature:APIServer] anonymous browsers should get a 403 from /', 1.0), ('[sig-api-machinery][Feature:APIServer] authenticated browser should get a 200 from /', 1.0), ('[sig-apps][Feature:DeploymentConfig] deploymentconfigs should respect image stream tag reference policy resolve the image pull spec', 1.0), ('[sig-auth][Feature:OpenShiftAuthorization] authorization  TestAuthorizationSubjectAccessReview should succeed', 1.0), ('[sig-auth][Feature:ProjectAPI]  TestProjectWatchWithSelectionPredicate should succeed', 1.0), ('[sig-auth][Feature:SecurityContextConstraints]  TestPodUpdateSCCEnforcement', 1.0), ('[sig-builds][Feature:Builds] prune builds based on settings in the buildconfig  should prune builds after a buildConfig change', 1.0), ('[sig-devex][Feature:OpenShiftControllerManager] TestAutomaticCreationOfPullSecrets', 1.0), ('[sig-imageregistry][Feature:ImageLookup] Image policy should perform lookup when the object has the resolve-names annotation', 1.0), ('[sig-network] network isolation when using a plugin that isolates namespaces by default should allow communication from default to non-default namespace on a different node', 1.0), ('[sig-network] services when using a plugin that isolates namespaces by default should allow connections from pods in the default namespace to a service in another namespace on a different node', 1.0)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712']"
61,[sig-imageregistry][Feature:Image] signature TestImageAddSignature,"[('[sig-apps][Feature:OpenShiftControllerManager] TestDeploymentConfigDefaults', 1.0), ('[sig-network] services when using a plugin that isolates namespaces by default should prevent connections to pods in different namespaces on different nodes via service IPs', 1.0)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1290697393284583424']"
62,[sig-imageregistry][Feature:Image] signature TestImageRemoveSignature,"[('[sig-auth][Feature:ProjectAPI]  TestUnprivilegedNewProject', 0.9081532183730038)]","['https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291269757735014400', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1291835183837745152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-origin-installer-e2e-azure-4.6/1291480293290545152', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-4.6/1290553685616627712', 'https://prow.svc.ci.openshift.org/view/gcs/origin-ci-test/logs/release-openshift-ocp-installer-e2e-azure-ovn-4.6/1292733362506567680']"
